Date,Index
2/2/2014,775.92
2/3/2014,769.51
2/4/2014,774.91
2/5/2014,781.38
2/6/2014,785.78
2/9/2014,784
2/10/2014,803.13
2/11/2014,796.55
2/12/2014,798.33
2/13/2014,803.1
2/16/2014,801.32
2/17/2014,803.73
2/18/2014,814.56
2/20/2014,822.67
2/23/2014,831.86
2/24/2014,829.89
2/25/2014,829.44
2/26/2014,825.7
3/3/2014,811.04
3/4/2014,800.05
3/5/2014,810.47
3/6/2014,805.65
3/9/2014,796.5
3/10/2014,793.57
3/11/2014,787.99
3/12/2014,780.51
3/13/2014,783.08
3/17/2014,768.54
3/18/2014,754.99
3/19/2014,764.91
3/20/2014,775.28
3/23/2014,774.76
3/24/2014,782.76
3/25/2014,780.49
3/26/2014,781.02
3/27/2014,783.15
3/31/2014,792.19
4/1/2014,800.99
4/2/2014,802.96
4/3/2014,800.58
4/6/2014,797.35
4/7/2014,795.93
4/9/2014,801.72
4/10/2014,811.34
4/13/2014,817.65
4/15/2014,818.58
4/16/2014,811.46
4/17/2014,811.12
4/20/2014,808.45
4/21/2014,808.09
4/22/2014,815.47
4/23/2014,820.38
4/27/2014,818.62
4/28/2014,814.16
4/29/2014,816.25
4/30/2014,823.24
5/4/2014,830.71
5/5/2014,861.5
5/6/2014,861.5
5/7/2014,866.25
5/8/2014,856.76
5/11/2014,849.63
5/12/2014,852.68
5/13/2014,852.06
5/15/2014,853.2
5/18/2014,849.67
5/19/2014,844.49
5/20/2014,844.42
5/21/2014,848.47
5/22/2014,852.06
5/25/2014,861.47
5/26/2014,860.6
5/27/2014,856.52
5/28/2014,866.57
5/30/2014,866.57
6/1/2014,869.18
6/2/2014,880.17
6/3/2014,884.7
6/4/2014,882.94
6/5/2014,879.33
6/8/2014,883.21
6/9/2014,885.21
6/10/2014,895.02
6/11/2014,899.53
6/12/2014,904.61
6/15/2014,927.56
6/16/2014,938.85
6/17/2014,935.49
6/18/2014,932.22
6/19/2014,926.5
6/23/2014,917.58
6/24/2014,923.55
6/25/2014,932.19
6/26/2014,937.05
6/29/2014,943.48
6/30/2014,945.82
7/1/2014,956.6
7/2/2014,972.48
7/3/2014,972.85
7/6/2014,986.34
7/7/2014,995.19
7/8/2014,1014.67
7/9/2014,1016.5
7/10/2014,1023.47
7/13/2014,1036.98
7/14/2014,1028.94
7/15/2014,1025.69
7/16/2014,1036.11
7/17/2014,1045.89
7/20/2014,1074.97
7/21/2014,1083.55
7/22/2014,1077.65
7/23/2014,1081.51
7/24/2014,1079.09
7/27/2014,1073.93
7/28/2014,1072.82
7/30/2014,1062.44
7/31/2014,1066.09
8/3/2014,1056.43
8/4/2014,1039.03
8/5/2014,1044.74
8/6/2014,1041.22
8/7/2014,1040.59
8/12/2014,1021.86
8/13/2014,1026.21
8/14/2014,1034.39
8/18/2014,1013.25
8/19/2014,1013.62
8/20/2014,995.71
8/21/2014,997.12
8/24/2014,985.45
8/25/2014,947.84
8/26/2014,921.86
8/27/2014,960.43
8/28/2014,972.17
8/31/2014,952.6
9/1/2014,946.6
9/3/2014,933.96
9/4/2014,921.69
9/7/2014,875.56
9/9/2014,920.06
9/10/2014,910.62
9/11/2014,910.65
9/14/2014,902.15
9/15/2014,909.39
9/16/2014,919.88
9/17/2014,913.42
9/18/2014,899.89
9/21/2014,883.51
9/22/2014,881.87
9/23/2014,896.01
9/24/2014,912.32
9/28/2014,916.63
9/29/2014,937.31
9/30/2014,937.99
10/8/2014,925.21
10/9/2014,921.88
10/12/2014,915.04
10/13/2014,910.35
10/14/2014,911.84
10/15/2014,923.12
10/16/2014,923.59
10/19/2014,925.85
10/20/2014,925.5
10/21/2014,924.34
10/22/2014,928.99
10/26/2014,930.33
10/27/2014,935.01
10/28/2014,934.13
10/30/2014,930.21
11/2/2014,921.3
11/3/2014,904.03
11/4/2014,897.46
11/5/2014,904.67
11/6/2014,904.92
11/9/2014,895.41
11/10/2014,884.74
11/11/2014,892.52
11/12/2014,884.35
11/13/2014,881.04
11/16/2014,866.16
11/17/2014,848.18
11/18/2014,844.06
11/19/2014,853.95
11/20/2014,862.5
11/23/2014,869.15
11/24/2014,864.31
11/25/2014,863.01
11/30/2014,856.88
12/1/2014,851.43
12/2/2014,846.41
12/3/2014,850.16
12/4/2014,853.76
12/7/2014,850.88
12/8/2014,848.41
12/9/2014,848.73
12/10/2014,855.51
12/11/2014,870.63
12/14/2014,910.01
12/15/2014,916.74
12/16/2014,910.2
12/17/2014,900.4
12/18/2014,903.89
12/21/2014,896.61
12/22/2014,885.44
12/23/2014,877.21
12/24/2014,887.8
12/28/2014,903.72
12/29/2014,907.23
12/31/2014,902.33
1/1/2015,903.68
1/4/2015,917.5
1/5/2015,919.77
1/6/2015,917.41
1/7/2015,924.54
1/8/2015,930.97
1/11/2015,928.33
1/12/2015,927.8
1/13/2015,937.48
1/14/2015,939.53
1/18/2015,945.36
1/19/2015,975.45
1/20/2015,962.8
1/22/2015,959.24
1/25/2015,969.05
1/26/2015,968.63
1/27/2015,975.14
1/28/2015,988.07
1/29/2015,986.66
2/1/2015,991.44
2/2/2015,990.76
2/3/2015,987.55
2/4/2015,987.03
2/5/2015,984.22
2/8/2015,986.02
2/9/2015,980.7
2/10/2015,980.54
2/11/2015,981.01
2/12/2015,984.51
2/15/2015,989.87
2/16/2015,987.05
2/18/2015,982.65
2/22/2015,971.47
2/23/2015,973.95
2/24/2015,970.77
2/25/2015,970.62
2/26/2015,979.27
3/1/2015,975.67
3/2/2015,984.85
3/3/2015,981.42
3/4/2015,983.49
3/9/2015,988.77
3/10/2015,984.43
3/11/2015,984.06
3/12/2015,978.44
3/15/2015,970.68
3/16/2015,959.14
3/17/2015,963.46
3/18/2015,964.24
3/19/2015,967.62
3/22/2015,964.12
3/23/2015,956.59
3/24/2015,953.84
3/25/2015,951.29
3/26/2015,942.4
3/29/2015,942.3
3/30/2015,939.1
3/31/2015,945.74
4/1/2015,939.54
4/2/2015,940.09
4/5/2015,934.25
4/6/2015,938.12
4/7/2015,935.53
4/8/2015,942.15
4/9/2015,946.89
4/12/2015,952.03
4/13/2015,948.36
4/15/2015,944.13
4/16/2015,949.92
4/19/2015,945.7
4/20/2015,944.98
4/21/2015,945.12
4/22/2015,942.02
4/23/2015,938.19
5/24/2015,909.82
5/25/2015,880.53
5/26/2015,859.97
5/27/2015,837.83
5/28/2015,841.96
5/31/2015,871.94
6/1/2015,890.43
6/2/2015,901.98
6/4/2015,926.84
6/7/2015,931.17
6/8/2015,945.49
6/9/2015,966.59
6/10/2015,955.66
6/11/2015,937.96
6/14/2015,928.35
6/15/2015,933.73
6/16/2015,930.7
6/17/2015,927.85
6/18/2015,924.6
6/21/2015,917.97
6/22/2015,922.47
6/23/2015,926.09
6/24/2015,928.13
6/25/2015,930.38
6/28/2015,938
6/29/2015,946.33
6/30/2015,949.13
7/1/2015,945.78
7/2/2015,938.96
7/5/2015,938.02
7/6/2015,936.76
7/7/2015,941.36
7/8/2015,943.16
7/9/2015,943.43
7/12/2015,944.96
7/13/2015,944
7/14/2015,946.46
7/15/2015,950.72
7/16/2015,961.23
7/22/2015,963.27
7/23/2015,1003.38
7/26/2015,1053.95
7/27/2015,1046.4
7/28/2015,1028.14
7/29/2015,1021.33
7/30/2015,1027.98
8/3/2015,1030.4
8/4/2015,1029.92
8/6/2015,1040.36
8/9/2015,1063.41
8/10/2015,1081.36
8/11/2015,1077.78
8/12/2015,1077.19
8/13/2015,1088.42
8/16/2015,1112.05
8/17/2015,1157.6
8/18/2015,1159.93
8/19/2015,1191.92
8/20/2015,1200.92
8/23/2015,1184.67
8/24/2015,1181.75
8/25/2015,1181.41
8/26/2015,1175.57
8/27/2015,1183.76
8/31/2015,1200.15
9/1/2015,1191.34
9/2/2015,1176.26
9/3/2015,1169.4
9/6/2015,1166.69
9/7/2015,1170.97
9/8/2015,1174.69
9/9/2015,1173.16
9/10/2015,1168.71
9/13/2015,1183.93
9/14/2015,1194.11
9/15/2015,1205.84
9/16/2015,1202.81
9/17/2015,1196.02
9/22/2015,1156.08
9/23/2015,1183.36
9/24/2015,1176.86
9/28/2015,1160.09
9/29/2015,1169.3
9/30/2015,1181.28
10/1/2015,1178.74
10/4/2015,1183.48
10/5/2015,1171.27
10/6/2015,1158.79
10/7/2015,1149.45
10/8/2015,1162.06
10/11/2015,1143.88
10/14/2015,1135.09
10/15/2015,1134.47
10/18/2015,1119.83
10/19/2015,1127.42
10/25/2015,1121.05
10/27/2015,1091.73
10/28/2015,1084.37
10/29/2015,1092.04
11/1/2015,1088.3
11/2/2015,1091.83
11/3/2015,1086.2
11/4/2015,1092.3
11/5/2015,1090.68
11/8/2015,1086.57
11/9/2015,1107.43
11/10/2015,1109.29
11/15/2015,1100.09
11/16/2015,1094.18
11/18/2015,1099.25
11/19/2015,1094.57
11/22/2015,1071.38
11/23/2015,1075.8
11/24/2015,1066.69
11/25/2015,1056.42
11/26/2015,1044.01
11/29/2015,1022.77
11/30/2015,1034.12
12/1/2015,1066.38
12/2/2015,1062.78
12/3/2015,1072.94
12/6/2015,1102.84
12/7/2015,1107.94
12/8/2015,1107.23
12/9/2015,1122.79
12/10/2015,1119.35
12/13/2015,1118.57
12/14/2015,1120.18
12/15/2015,1121.02
12/16/2015,1116.19
